year,v2cacamps_ord,v2x_regime
1987,0.0,3.0
1988,0.0,3.0
1989,0.0,3.0
1990,0.0,3.0
1991,0.0,3.0
1992,0.0,3.0
1993,0.0,3.0
1994,0.0,3.0
1995,0.0,3.0
1996,0.0,3.0
1997,0.0,3.0
1998,0.0,3.0
1999,0.0,3.0
2000,0.0,3.0
2001,0.0,3.0
2002,0.0,3.0
2003,0.0,3.0
2004,0.0,3.0
2005,0.0,3.0
2006,0.0,3.0
2007,0.0,3.0
2008,0.0,3.0
2009,0.0,3.0
2010,1.0,3.0
2011,1.0,3.0
2012,1.0,3.0
2013,1.0,3.0
2014,1.0,3.0
2015,1.0,3.0
2016,1.0,3.0
2017,1.0,3.0
2018,1.0,3.0
2019,1.0,3.0
2020,1.0,3.0
2021,1.0,3.0
2022,1.0,3.0
2023,1.0,3.0
2024,2.0,3.0
1900,2.0,3.0
1901,2.0,3.0
1902,2.0,3.0
1903,2.0,3.0
1904,2.0,3.0
1905,2.0,3.0
1906,2.0,3.0
1907,2.0,3.0
1908,2.0,3.0
1909,2.0,3.0
1910,2.0,3.0
1911,2.0,3.0
1912,2.0,3.0
1913,2.0,3.0
1914,2.0,3.0
1915,2.0,3.0
1916,2.0,3.0
1917,2.0,3.0
1918,2.0,3.0
1919,2.0,3.0
1920,2.0,3.0
1921,2.0,3.0
1922,1.0,3.0
1923,1.0,3.0
1924,1.0,3.0
1925,1.0,3.0
1926,1.0,3.0
1927,1.0,3.0
1928,1.0,3.0
1929,1.0,3.0
1930,1.0,3.0
1931,1.0,3.0
1932,1.0,3.0
1933,1.0,3.0
1934,1.0,3.0
1935,1.0,3.0
1936,1.0,3.0
1937,1.0,3.0
1938,1.0,3.0
1939,1.0,3.0
1940,0.0,3.0
1941,0.0,3.0
1942,0.0,3.0
1943,0.0,3.0
1944,0.0,3.0
1945,0.0,3.0
1946,0.0,3.0
1947,0.0,3.0
1948,0.0,3.0
1949,0.0,3.0
1950,0.0,3.0
1951,0.0,3.0
1952,0.0,3.0
1953,0.0,3.0
1954,0.0,3.0
1955,0.0,3.0
1956,0.0,3.0
1957,0.0,3.0
1958,0.0,3.0
1959,0.0,3.0
1960,0.0,3.0
1961,0.0,3.0
1962,0.0,3.0
1963,0.0,3.0
1964,0.0,3.0
1965,0.0,3.0
1966,0.0,3.0
1967,0.0,3.0
1968,1.0,3.0
1969,1.0,3.0
1970,1.0,3.0
1971,1.0,3.0
1972,1.0,3.0
1973,1.0,3.0
1974,1.0,3.0
1975,1.0,3.0
1976,1.0,3.0
1977,1.0,3.0
1978,1.0,3.0
1979,1.0,3.0
1980,0.0,3.0
1981,0.0,3.0
1982,0.0,3.0
1983,0.0,3.0
1984,0.0,3.0
1985,0.0,3.0
1986,0.0,3.0
1987,0.0,3.0
1988,0.0,3.0
1989,0.0,3.0
1990,0.0,3.0
1991,0.0,3.0
1992,1.0,3.0
1993,1.0,3.0
1994,1.0,3.0
1995,1.0,3.0
1996,1.0,3.0
1997,1.0,3.0
1998,1.0,3.0
1999,1.0,3.0
2000,1.0,3.0
2001,1.0,3.0
2002,1.0,3.0
2003,1.0,3.0
2004,1.0,3.0
2005,1.0,3.0
2006,1.0,3.0
2007,1.0,3.0
2008,1.0,3.0
2009,1.0,3.0
2010,1.0,3.0
2011,1.0,3.0
2012,1.0,3.0
2013,1.0,3.0
2014,1.0,3.0
2015,1.0,3.0
2016,1.0,3.0
2017,1.0,3.0
2018,1.0,3.0
2019,1.0,3.0
2020,1.0,3.0
2021,1.0,3.0
2022,1.0,3.0
2023,1.0,3.0
2024,1.0,3.0
1902,3.0,0.0
1903,3.0,0.0
1904,3.0,0.0
1905,3.0,0.0
1906,3.0,0.0
1907,3.0,0.0
1908,3.0,0.0
1909,3.0,0.0
1910,3.0,0.0
1911,3.0,0.0
1912,3.0,0.0
1913,3.0,0.0
1914,3.0,0.0
1915,3.0,0.0
1916,3.0,0.0
1917,3.0,0.0
1918,3.0,0.0
1919,3.0,0.0
1920,3.0,0.0
1921,3.0,0.0
1922,3.0,0.0
1923,3.0,0.0
1924,3.0,0.0
1925,3.0,0.0
1926,3.0,0.0
1927,3.0,0.0
1928,3.0,0.0
1929,3.0,0.0
1930,3.0,0.0
1931,3.0,0.0
1932,3.0,0.0
1933,3.0,0.0
1934,3.0,0.0
1935,3.0,0.0
1936,3.0,0.0
1937,3.0,0.0
1938,3.0,0.0
1939,3.0,0.0
1940,3.0,0.0
1941,3.0,0.0
1942,3.0,0.0
1943,3.0,0.0
1944,3.0,0.0
1945,3.0,0.0
1946,3.0,0.0
1947,3.0,0.0
1948,3.0,0.0
1949,3.0,0.0
1950,3.0,0.0
1951,3.0,0.0
1952,3.0,0.0
1953,3.0,0.0
1954,3.0,0.0
1955,3.0,0.0
1956,3.0,0.0
1957,3.0,1.0
1958,2.0,1.0
1959,2.0,1.0
1960,2.0,1.0
1961,2.0,1.0
1962,2.0,1.0
1963,2.0,1.0
1964,2.0,1.0
1965,2.0,1.0
1966,2.0,1.0
1967,2.0,0.0
1968,2.0,0.0
1969,2.0,1.0
1970,2.0,1.0
1971,2.0,1.0
1972,2.0,0.0
1973,2.0,0.0
1974,2.0,0.0
1975,2.0,0.0
1976,2.0,0.0
1977,2.0,0.0
1978,2.0,0.0
1979,2.0,1.0
1980,2.0,2.0
1981,2.0,0.0
1982,2.0,0.0
1983,2.0,0.0
1984,2.0,0.0
1985,2.0,0.0
1986,2.0,0.0
1987,2.0,0.0
1988,2.0,0.0
1989,2.0,0.0
1990,2.0,0.0
1991,2.0,0.0
1992,2.0,1.0
1993,2.0,1.0
1994,2.0,1.0
1995,2.0,1.0
1996,2.0,2.0
1997,2.0,2.0
1998,2.0,2.0
1999,2.0,2.0
2000,2.0,2.0
2001,2.0,2.0
2002,2.0,2.0
2003,2.0,3.0
2004,2.0,3.0
2005,2.0,3.0
2006,2.0,3.0
2007,2.0,3.0
2008,2.0,3.0
2009,2.0,3.0
2010,2.0,3.0
2011,2.0,3.0
2012,2.0,3.0
2013,2.0,3.0
2014,2.0,3.0
2015,2.0,2.0
2016,2.0,2.0
2017,2.0,2.0
2018,2.0,2.0
2019,2.0,2.0
2020,2.0,2.0
2021,2.0,2.0
2022,2.0,2.0
2023,2.0,2.0
2024,2.0,2.0
1900,4.0,0.0
1901,4.0,0.0
1902,4.0,0.0
1903,4.0,0.0
1904,4.0,0.0
1905,4.0,0.0
1906,4.0,0.0
1907,4.0,0.0
1908,4.0,0.0
1909,4.0,0.0
1910,4.0,1.0
1911,3.0,1.0
1912,3.0,1.0
1913,3.0,1.0
1914,3.0,1.0
1915,3.0,1.0
1916,3.0,1.0
1917,3.0,1.0
1918,3.0,1.0
1919,3.0,1.0
1920,3.0,1.0
1921,3.0,1.0
1922,3.0,1.0
1923,3.0,1.0
1924,3.0,1.0
1925,3.0,1.0
1926,3.0,1.0
1927,3.0,1.0
1928,3.0,1.0
1929,3.0,1.0
1930,3.0,1.0
1931,3.0,1.0
1932,3.0,1.0
1933,3.0,1.0
1934,3.0,1.0
1935,3.0,1.0
1936,3.0,1.0
1937,3.0,1.0
1938,3.0,1.0
1939,3.0,1.0
1940,3.0,1.0
1941,3.0,1.0
1942,3.0,1.0
1943,3.0,1.0
1944,3.0,1.0
1945,3.0,1.0
1946,3.0,1.0
1947,3.0,1.0
1948,4.0,1.0
1949,4.0,1.0
1950,4.0,1.0
1951,4.0,1.0
1952,4.0,1.0
1953,4.0,1.0
1954,4.0,1.0
1955,4.0,1.0
1956,4.0,1.0
1957,4.0,1.0
1958,4.0,1.0
1959,4.0,1.0
1960,4.0,1.0
1961,4.0,1.0
1962,4.0,1.0
1963,4.0,1.0
1964,4.0,1.0
1965,4.0,1.0
1966,4.0,1.0
1967,4.0,1.0
1968,4.0,1.0
1969,4.0,1.0
1970,4.0,1.0
1971,4.0,1.0
1972,4.0,1.0
1973,4.0,1.0
1974,4.0,1.0
1975,4.0,1.0
1976,4.0,1.0
1977,4.0,1.0
1978,4.0,1.0
1979,4.0,1.0
1980,4.0,1.0
1981,4.0,1.0
1982,4.0,1.0
1983,4.0,1.0
1984,4.0,0.0
1985,4.0,0.0
1986,4.0,0.0
1987,4.0,0.0
1988,4.0,0.0
1989,4.0,0.0
1990,4.0,0.0
1991,4.0,0.0
1992,4.0,0.0
1993,4.0,0.0
1994,3.0,1.0
1995,2.0,2.0
1996,2.0,3.0
1997,2.0,3.0
1998,2.0,3.0
1999,2.0,3.0
2000,2.0,3.0
2001,2.0,3.0
2002,2.0,3.0
2003,2.0,3.0
2004,2.0,3.0
2005,2.0,3.0
2006,2.0,3.0
2007,2.0,3.0
2008,2.0,3.0
2009,2.0,3.0
2010,2.0,3.0
2011,2.0,3.0
2012,2.0,3.0
2013,2.0,2.0
2014,2.0,2.0
2015,2.0,2.0
2016,2.0,2.0
2017,2.0,2.0
2018,2.0,2.0
2019,2.0,2.0
2020,3.0,2.0
2021,3.0,2.0
2022,3.0,2.0
2023,3.0,2.0
2024,2.0,3.0
1900,1.0,0.0
1901,1.0,0.0
1902,1.0,0.0
1903,1.0,0.0
1904,1.0,0.0
1905,1.0,0.0
1906,1.0,0.0
1907,1.0,0.0
1908,1.0,0.0
1909,1.0,0.0
1910,1.0,0.0
1911,1.0,0.0
1912,1.0,0.0
1913,1.0,0.0
1914,1.0,0.0
1915,1.0,0.0
1916,1.0,0.0
1917,1.0,0.0
1918,1.0,0.0
1919,1.0,0.0
1920,1.0,0.0
1921,1.0,0.0
1922,1.0,0.0
1923,1.0,0.0
1924,1.0,0.0
1925,1.0,0.0
1926,1.0,0.0
1927,1.0,0.0
1928,1.0,0.0
1929,1.0,0.0
1930,1.0,0.0
1931,1.0,0.0
1932,1.0,0.0
1933,1.0,0.0
1934,1.0,0.0
1935,1.0,0.0
1936,1.0,0.0
1937,1.0,0.0
1938,1.0,0.0
1939,1.0,0.0
1940,1.0,0.0
1941,1.0,0.0
1942,1.0,0.0
1943,1.0,0.0
1944,1.0,0.0
1945,1.0,1.0
1946,1.0,0.0
1947,1.0,0.0
1948,1.0,0.0
1949,1.0,0.0
1950,1.0,0.0
1951,1.0,0.0
1952,1.0,3.0
1953,1.0,3.0
1954,1.0,3.0
1955,1.0,3.0
1956,1.0,3.0
1957,1.0,3.0
1958,1.0,3.0
1959,1.0,3.0
1960,2.0,3.0
1961,1.0,3.0
1962,1.0,3.0
1963,1.0,3.0
1964,1.0,3.0
1965,1.0,3.0
1966,1.0,3.0
1967,1.0,3.0
1968,1.0,3.0
1969,1.0,3.0
1970,1.0,3.0
1971,1.0,3.0
1972,1.0,3.0
1973,1.0,3.0
1974,1.0,3.0
1975,1.0,3.0
1976,1.0,3.0
1977,1.0,3.0
1978,1.0,3.0
1979,1.0,3.0
1980,1.0,3.0
1981,1.0,3.0
1982,1.0,3.0
1983,1.0,3.0
1984,1.0,3.0
1985,1.0,3.0
1986,1.0,3.0
1987,1.0,3.0
1988,1.0,3.0
1989,1.0,3.0
1990,1.0,3.0
1991,1.0,3.0
1992,1.0,3.0
1993,1.0,3.0
1994,0.0,3.0
1995,0.0,3.0
1996,0.0,3.0
1997,0.0,3.0
1998,0.0,3.0
1999,0.0,3.0
2000,0.0,3.0
2001,0.0,3.0
2002,0.0,3.0
2003,0.0,3.0
2004,0.0,3.0
2005,0.0,3.0
2006,0.0,3.0
2007,0.0,3.0
2008,0.0,3.0
2009,0.0,3.0
2010,0.0,3.0
2011,0.0,3.0
2012,1.0,3.0
2013,1.0,3.0
2014,1.0,3.0
2015,1.0,3.0
2016,1.0,3.0
2017,1.0,3.0
2018,1.0,3.0
2019,1.0,3.0
2020,1.0,3.0
2021,1.0,3.0
2022,1.0,3.0
2023,1.0,3.0
2024,1.0,3.0
1900,1.0,0.0
1901,1.0,0.0
1902,1.0,0.0
1903,1.0,0.0
1904,1.0,0.0
1905,1.0,0.0
1906,1.0,0.0
1907,1.0,0.0
1908,1.0,0.0
1909,1.0,0.0
1910,1.0,0.0
1911,1.0,0.0
1912,1.0,0.0
1913,1.0,0.0
1914,1.0,0.0
1915,1.0,0.0
1916,1.0,0.0
1917,1.0,0.0
1918,1.0,0.0
1919,1.0,0.0
1920,1.0,0.0
1921,1.0,0.0
1922,1.0,0.0
1923,1.0,0.0
1924,1.0,0.0
1925,1.0,0.0
1926,1.0,0.0
1927,1.0,0.0
1928,1.0,0.0
1929,1.0,0.0
1930,1.0,0.0
1931,1.0,0.0
1932,1.0,0.0
1933,1.0,0.0
1934,1.0,0.0
1935,1.0,0.0
1936,1.0,0.0
1937,1.0,0.0
1938,1.0,0.0
1939,1.0,0.0
1940,2.0,0.0
1941,2.0,0.0
1942,2.0,0.0
1943,2.0,0.0
1944,2.0,0.0
1945,2.0,0.0
1946,2.0,0.0
1947,2.0,0.0
1948,3.0,0.0
1949,3.0,0.0
1950,3.0,0.0
1951,3.0,1.0
1952,3.0,1.0
1953,3.0,1.0
1954,3.0,1.0
1955,3.0,1.0
1956,3.0,1.0
1957,3.0,1.0
1958,3.0,1.0
1959,3.0,1.0
1960,3.0,1.0
1961,3.0,1.0
1962,3.0,0.0
1963,4.0,0.0
1964,4.0,0.0
1965,4.0,0.0
1966,4.0,0.0
1967,4.0,0.0
1968,4.0,0.0
1969,4.0,0.0
1970,4.0,0.0
1971,4.0,0.0
1972,4.0,0.0
1973,4.0,0.0
1974,4.0,0.0
1975,4.0,0.0
1976,4.0,0.0
1977,4.0,0.0
1978,4.0,0.0
1979,4.0,0.0
1980,4.0,0.0
1981,4.0,0.0
1982,4.0,0.0
1983,4.0,0.0
1984,4.0,0.0
1985,4.0,0.0
1986,4.0,0.0
1987,4.0,0.0
1988,4.0,0.0
1989,4.0,0.0
1990,4.0,0.0
1991,4.0,0.0
1992,4.0,0.0
1993,4.0,0.0
1994,4.0,0.0
1995,4.0,0.0
1996,4.0,0.0
1997,4.0,0.0
1998,4.0,0.0
1999,4.0,0.0
2000,4.0,0.0
2001,4.0,0.0
2002,4.0,0.0
2003,4.0,0.0
2004,4.0,0.0
2005,4.0,0.0
2006,4.0,0.0
2007,4.0,0.0
2008,4.0,0.0
2009,4.0,0.0
2010,3.0,0.0
2011,3.0,1.0
2012,3.0,1.0
2013,3.0,1.0
2014,3.0,1.0
2015,3.0,1.0
2016,3.0,1.0
2017,3.0,1.0
2018,3.0,1.0
2019,3.0,1.0
2020,3.0,1.0
2021,4.0,0.0
2022,4.0,0.0
2023,4.0,0.0
2024,4.0,0.0
1900,3.0,0.0
1901,3.0,0.0
1902,3.0,0.0
1903,3.0,0.0
1904,3.0,0.0
1905,4.0,0.0
1906,4.0,0.0
1907,4.0,0.0
1908,3.0,0.0
1909,3.0,0.0
1910,3.0,0.0
1911,3.0,0.0
1912,3.0,0.0
1913,3.0,0.0
1914,3.0,0.0
1915,3.0,0.0
1916,3.0,0.0
1917,4.0,1.0
1918,4.0,0.0
1919,4.0,0.0
1920,4.0,0.0
1921,4.0,0.0
1922,4.0,0.0
1923,4.0,0.0
1924,3.0,0.0
1925,3.0,0.0
1926,3.0,0.0
1927,3.0,0.0
1928,3.0,0.0
1929,3.0,0.0
1930,3.0,0.0
1931,3.0,0.0
1932,3.0,0.0
1933,3.0,0.0
1934,3.0,0.0
1935,3.0,0.0
1936,3.0,0.0
1937,3.0,0.0
1938,3.0,0.0
1939,3.0,0.0
1940,3.0,0.0
1941,3.0,0.0
1942,3.0,0.0
1943,3.0,0.0
1944,3.0,0.0
1945,3.0,0.0
1946,3.0,0.0
1947,3.0,0.0
1948,3.0,0.0
1949,3.0,0.0
1950,3.0,0.0
1951,3.0,0.0
1952,3.0,0.0
1953,3.0,0.0
1954,3.0,0.0
1955,3.0,0.0
1956,3.0,0.0
1957,3.0,0.0
1958,3.0,0.0
1959,3.0,0.0
1960,3.0,0.0
1961,3.0,0.0
1962,3.0,0.0
1963,3.0,0.0
1964,3.0,0.0
1965,3.0,0.0
1966,3.0,0.0
1967,3.0,0.0
1968,3.0,0.0
1969,3.0,0.0
1970,3.0,0.0
1971,3.0,0.0
1972,3.0,0.0
1973,3.0,0.0
1974,3.0,0.0
1975,3.0,0.0
1976,3.0,0.0
1977,3.0,0.0
1978,3.0,0.0
1979,3.0,0.0
1980,3.0,0.0
1981,3.0,0.0
1982,3.0,0.0
1983,3.0,0.0
1984,3.0,0.0
1985,2.0,0.0
1986,2.0,0.0
1987,3.0,0.0
1988,2.0,0.0
1989,2.0,0.0
1990,3.0,0.0
1991,3.0,1.0
1992,3.0,1.0
1993,3.0,1.0
1994,3.0,1.0
1995,3.0,1.0
1996,3.0,1.0
1997,3.0,1.0
1998,3.0,1.0
1999,3.0,1.0
2000,2.0,1.0
2001,2.0,1.0
2002,2.0,1.0
2003,2.0,1.0
2004,2.0,1.0
2005,2.0,1.0
2006,2.0,1.0
2007,2.0,1.0
2008,2.0,1.0
2009,2.0,1.0
2010,2.0,1.0
2011,3.0,1.0
2012,3.0,1.0
2013,3.0,1.0
2014,3.0,1.0
2015,3.0,1.0
2016,3.0,1.0
2017,3.0,1.0
2018,3.0,1.0
2019,3.0,1.0
2020,3.0,1.0
2021,4.0,1.0
2022,4.0,1.0
2023,4.0,1.0
2024,4.0,1.0
1912,2.0,
1913,2.0,
1914,2.0,0.0
1915,2.0,0.0
1916,2.0,0.0
1917,2.0,0.0
1918,2.0,0.0
1919,2.0,0.0
1920,2.0,0.0
1921,2.0,1.0
1922,2.0,1.0
1923,2.0,1.0
1924,2.0,1.0
1925,3.0,1.0
1926,2.0,1.0
1927,2.0,1.0
1928,2.0,1.0
1929,2.0,0.0
1930,2.0,0.0
1931,2.0,0.0
1932,2.0,1.0
1933,2.0,1.0
1934,2.0,1.0
1935,2.0,1.0
1936,2.0,1.0
1937,2.0,1.0
1938,2.0,0.0
1939,2.0,0.0
1940,3.0,0.0
1941,3.0,0.0
1942,3.0,0.0
1943,3.0,0.0
1944,3.0,0.0
1945,3.0,0.0
1946,3.0,1.0
1947,4.0,1.0
1948,4.0,1.0
1949,4.0,0.0
1950,4.0,0.0
1951,4.0,0.0
1952,4.0,0.0
1953,4.0,0.0
1954,4.0,0.0
1955,4.0,0.0
1956,4.0,0.0
1957,4.0,0.0
1958,4.0,0.0
1959,4.0,0.0
1960,4.0,0.0
1961,4.0,0.0
1962,4.0,0.0
1963,4.0,0.0
1964,4.0,0.0
1965,4.0,0.0
1966,4.0,0.0
1967,4.0,0.0
1968,4.0,0.0
1969,4.0,0.0
1970,4.0,0.0
1971,4.0,0.0
1972,4.0,0.0
1973,4.0,0.0
1974,4.0,0.0
1975,4.0,0.0
1976,4.0,0.0
1977,4.0,0.0
1978,4.0,0.0
1979,4.0,0.0
1980,4.0,0.0
1981,4.0,0.0
1982,4.0,0.0
1983,4.0,0.0
1984,4.0,0.0
1985,4.0,0.0
1986,4.0,0.0
1987,4.0,0.0
1988,4.0,0.0
1989,4.0,0.0
1990,3.0,0.0
1991,3.0,1.0
1992,2.0,1.0
1993,2.0,1.0
1994,2.0,1.0
1995,2.0,1.0
1996,2.0,1.0
1997,3.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,2.0
2006,1.0,2.0
2007,1.0,2.0
2008,1.0,2.0
2009,1.0,2.0
2010,1.0,2.0
2011,1.0,2.0
2012,1.0,2.0
2013,1.0,2.0
2014,1.0,2.0
2015,1.0,2.0
2016,1.0,2.0
2017,1.0,2.0
2018,1.0,2.0
2019,1.0,2.0
2020,1.0,2.0
2021,2.0,2.0
2022,2.0,2.0
2023,2.0,2.0
2024,2.0,2.0
1900,2.0,0.0
1901,2.0,0.0
1902,2.0,0.0
1903,2.0,0.0
1904,2.0,0.0
1905,2.0,0.0
1906,2.0,0.0
1907,2.0,0.0
1908,2.0,0.0
1909,2.0,0.0
1910,2.0,0.0
1911,2.0,0.0
1912,2.0,0.0
1913,2.0,0.0
1914,2.0,0.0
1915,3.0,0.0
1916,3.0,0.0
1917,3.0,0.0
1918,3.0,0.0
1919,3.0,0.0
1920,2.0,0.0
1921,2.0,0.0
1922,2.0,0.0
1923,1.0,0.0
1924,1.0,0.0
1925,1.0,0.0
1926,1.0,0.0
1927,1.0,0.0
1928,1.0,0.0
1929,1.0,0.0
1930,1.0,0.0
1931,1.0,0.0
1932,1.0,0.0
